rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,year_s,shows,average_gross,ref,_invalid_actual_gross
1,1,2,"$780,000,000",780000000,Taylor Swift,The Eras Tour †,2023–2024,56,13928571,[1],False
2,1,7[2],"$579,800,000",579800000,Beyoncé,Renaissance World Tour,2023,56,10353571,[3],False
3,1[4],2[5],"$411,000,000",560622615,Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,4835294,[6],False
4,2[7],10[7],"$397,300,000",454751555,Pink,Beautiful Trauma World Tour,2018–2019,156,2546795,[7],False
5,2[4],Unknown,"$345,675,146",402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,[8],False
6,2[4],10[9],"$305,158,363",388978496,Madonna,The MDNA Tour,2012,88,3467709,[9],False
7,2[10],Unknown,"$280,000,000",381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405,[11],False
7,Unknown,Unknown,"$257,600,000",257600000,Pink,Summer Carnival †,2023–2024,41,6282927,[12],False
9,Unknown,Unknown,"$256,084,556",312258401,Beyoncé,The Formation World Tour,2016,49,5226215,[13],False
10,Unknown,Unknown,"$250,400,000",309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,[14],False
11,Unknown,Unknown,"$229,100,000[b]",283202896,Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606,[15][16],True
12,Unknown,14[17],"$227,400,000",295301479,Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227,[18],False
13,Unknown,Unknown,"$204,000,000",251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993,[19],False
14,1[20],Unknown,"$200,000,000",299676265,Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,615385,[20],False
15,2[c],Unknown,"$194,000,000",281617035,Madonna,Confessions Tour,2006,60,3233333,[5],False
16,Unknown,Unknown,"$184,000,000",227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775,[22],False
17,Unknown,Unknown,"$170,000,000",213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694,[d],False
18,Unknown,Unknown,"$169,800,000",207046755,Madonna,Rebel Heart Tour,2015–2016,82,2070732,[4],False
19,Unknown,Unknown,"$167,700,000[e]",204486106,Adele,Adele Live 2016,2016–2017,121,1385950,[25],True
20,Unknown,Unknown,"$150,000,000",185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186,[26],False
